word,word_len,uni_prob,bi_prob,pos_uni_freq,pos_bi_freq
L ER TH,3,-11.88289715323727,-13.699184553394696,1.0715684871499969,1.0008202956406889
V EY ZH,3,-15.05827272827379,-14.578702309712625,1.0430249858548346,1.0008548486393003
F UW V,3,-12.783912728950618,-14.01276589850934,1.0939959992048274,1.0009759491795804
Y ER CH,3,-13.698720831354683,-14.375062157373602,1.0499236406461878,1.0015618746372155
D IY S,3,-9.340220740651114,-10.828692508721254,1.1865258422410498,1.0070236305439995
SH ER TH,3,-13.29423332960502,-15.262751299801248,1.0518533476304566,1.0007814712434377
W IH S,3,-10.249751291142147,-9.292474361106285,1.2050997701923798,1.0262084745458662
SH AW TH,3,-15.406679893516248,-16.324536006393625,1.0283257628962095,1.0005474570102704
CH IY N,3,-10.988775222469105,-12.536061882888353,1.1421076345031573,1.0033242783586465
N AW JH,3,-12.926758511823849,-17.635905979410836,1.042175275855543,1.0001556535388916
B AE P,3,-11.03320327198111,-11.492926420477314,1.1542550378495227,1.0089972677058527
DH AH SH,3,-13.30101935652931,-17.19855616795072,1.0929089456675676,1.001016553326265
P W IH K AH N,6,-18.83823654115536,-17.044088904577105,1.3927582306199653,1.0536808799448798
G ER G,3,-12.365241600286021,-14.381221177562422,1.0778012779785313,1.0012883241070236
P L AH P,4,-12.046808512161762,-13.462908102756021,1.206694447433641,1.0135106087717058
P AE B,3,-11.033203271981108,-12.508390811997176,1.1692446431059058,1.0075507984107313
DH AY V,3,-15.366031170275576,-15.95052889177089,1.0581400056459738,1.0012922395557766
D IH Z,3,-10.519513536161153,-8.600934347695569,1.184883833244739,1.0324179898952854
JH AH N,3,-9.569855919182249,-8.535625402066426,1.187490974226688,1.022355960470828
F ER S,3,-10.330578877503424,-10.417414285929627,1.1620722729557909,1.0058962992241671
DH AH CH,3,-14.273135683134111,-16.874271354862675,1.0924387815019132,1.0009381926319891
Z IY JH,3,-12.297400589666324,-16.050817805438133,1.0560430290134817,1.0009766610793538
S ER D,3,-9.661965733948872,-10.43402416980155,1.1770304223251387,1.0056003238511169
S ER P,3,-9.791528160066557,-12.548624159315098,1.1763251760766569,1.0059137666282199
D IY T,3,-9.209359383890302,-10.386716547889094,1.1693648501946603,1.0067493681140345
R AH F K,4,-12.239758357415118,-16.541434092053287,1.2076472678098333,1.0069395158999177
K IY K,3,-9.258720156599836,-12.100619577259845,1.1880979599422794,1.0042247144430443
CH EY DH,3,-15.998860376705204,-16.968587908761535,1.0359761575156163,1.0006226141555663
S ER Z,3,-10.722633977725852,-11.224436899420233,1.159281725071681,1.0047775365612215
S T AY S,4,-12.584599678624375,-12.695023381326017,1.194154199066353,1.0183485926559954
V IY N,3,-10.042854228062328,-11.877100663189898,1.1506844963807528,1.003401927153149
SH EY JH,3,-12.90946368253072,-14.163463747876694,1.0469158602720965,1.0016356079829647
CH AO TH,3,-15.199296272313838,-16.21209584099906,1.048826295246394,1.0002728386304185
G UW TH,3,-14.507245623039815,-14.405453475271653,1.0565063387101914,1.0011319586683587
S AY V,3,-11.352239197467668,-11.305041310069585,1.162149009410479,1.0046311377193826
SH AO SH,3,-12.885233575043454,-16.655906460598985,1.0536538638493655,1.001089574772241
Y IH S,3,-10.551994648712748,-13.485959853076608,1.1915553141051363,1.0218989664509794
DH AY M,3,-14.542522171852388,-16.11270436905021,1.082706083301422,1.0009787967786736
V IH N,3,-9.61059291181062,-9.822076386357903,1.21012464857239,1.0118424572920717
T AW CH,3,-13.485384946206988,-15.244556163599626,1.059539223529436,1.0006226141555663
W AH SH,3,-11.179905118448904,-14.477535566706326,1.1127017038466338,1.0016765680795359
W AE N,3,-11.012858987057616,-10.883527284206847,1.1781701807261622,1.012807346165559
SH AO CH,3,-13.857349901648258,-17.35897091615756,1.053183699683711,1.0008544926894138
CH AY DH,3,-16.311952164682353,-17.04479510188109,1.0436633881713604,1.0006226141555663
TH AH SH,3,-12.049777300874645,-15.361812679115683,1.0976436838986383,1.0013271485042747
TH AE N,3,-11.882731169483357,-12.191288010227048,1.1631121607781667,1.0126132241793029
B AO CH,3,-13.476040557419429,-14.782173390897036,1.0939334959347298,1.0016309806344383
K ER N,3,-9.152492984641139,-10.497713419379492,1.2153371482310549,1.0048338025029182
W AH CH,3,-12.152021445053707,-14.153250753618284,1.1122315396809794,1.00159820738526
Z UW DH,3,-15.742960923295268,-19.158478440637804,1.0281746384539305,1.0002728386304185
HH AY N,3,-11.783086761626091,-9.658653300959166,1.1626337770633035,1.0070638787407973
CH AY B,3,-13.337454394133282,-15.821017411900502,1.0663096288170526,1.0015629424868753
T AY W,3,-11.66725669674867,-20.123992550962377,1.079586876366145,1.0024092483288962
V EY DH,3,-15.052939382298428,-15.718077854024648,1.0445530193932118,1.000933209333576
T AY S,3,-9.774578962021163,-12.080699929373445,1.1549698642594177,1.0033887570073432
JH EY JH,3,-13.385371741281281,-14.72566178918261,1.0498265600043122,1.0009367688324426
R EY M,3,-10.32456056113944,-11.585636217260596,1.132068567397104,1.004439507382333
G UW ZH,3,-15.76382102466984,-15.173226371976153,1.0507860080280615,1.000661794502704
CH AH Z,3,-11.870897822087947,-12.31015441760743,1.1101292290274958,1.0020331066525299
G AW D,3,-13.401493165021057,-13.738075449321046,1.0740989488960495,1.0007034664990486
V AW R,3,-12.779247458633137,-16.59044984607902,1.1024037792833201,1.000351555274581
P UW ZH,3,-14.817188451611335,-14.43154657021674,1.1025576539317368,1.0005453213109505
P ER N,3,-9.598248636776846,-9.576178489253861,1.202879353377172,1.0095315545703174
L AH N,3,-7.682611684063936,-8.33480591193027,1.2042954140140127,1.0234430435938626
P ER V,3,-11.23832703875225,-10.538263765542448,1.1352932545643366,1.0091397510989386
CH AH JH,3,-12.155855315564429,-12.477145733358078,1.1009218474500948,1.001641303181151
HH UW SH,3,-13.609144351347101,-13.155440548002094,1.0704152904776758,1.0010108581280786
S EH SH,3,-10.512688953283643,-11.66245822846738,1.1882212844477964,1.0088537423227142
N EH N,3,-8.705526360216556,-10.975593513294884,1.1862068912271209,1.014476795247362
SH AO B,3,-12.503924230814626,-17.57112172891427,1.070501413118652,1.001089574772241
Z IY TH,3,-13.163438901581344,-16.80386480051512,1.052516797771073,1.000584857607975
B IH K F,4,-13.660580128782753,-17.340785244927226,1.2276537292758245,1.0132771214893141
S EH CH,3,-11.484805279888446,-12.304114055897308,1.187751120282142,1.0090888244055416
SH UW V,3,-12.985017263898968,-14.419046927324127,1.0575928478872507,1.000898300385078
K ER M,3,-9.969062388193352,-11.236688867634252,1.1723171270736674,1.0053431470157106
R IY S,3,-8.898257022738461,-9.87814278711425,1.1829165745731025,1.0205345207874286
Y AH SH,3,-11.482148476019507,-14.140287103841574,1.0991572477593905,1.0009389045317625
S IH Z,3,-9.968627668176389,-8.977571363252025,1.2282338545898703,1.0137046304201913
SH EY TH,3,-13.77550199444574,-15.774834073352595,1.0433896290296878,1.0012438045115861
T IH L S,4,-11.045500286376956,-14.730489940758295,1.2634103255061429,1.0143888879117373
G AE N,3,-10.747262119491065,-9.784559837753962,1.1829825376167586,1.0146709172336181
K EY B,3,-10.866335375030406,-13.457031035193419,1.141363889215758,1.0022226012902595
TH ER TH,3,-14.636179700270603,-14.454831933542513,1.0472738467184373,1.0014803103939598
Y AH CH,3,-12.454264802624309,-13.81600229075353,1.098687083593736,1.0008605438374867
B R EH L,4,-13.059589845850057,-12.039987843900997,1.212062960473097,1.0174077789246934
V EY T,3,-10.908286052729705,-10.02291586053345,1.1054000984983328,1.0038717353689168
SH EH N,3,-10.319409429993932,-11.751256550426968,1.175883609510196,1.0132732389325738
HH UW DH,3,-16.202332777667344,-15.330151588900042,1.0646165991012702,1.0009716777809408
S EH DH,3,-13.105877379603887,-13.20970412064503,1.182422593071391,1.009245545794093
SH AO G,3,-13.091710895716746,-15.497351102874969,1.0627045240382147,1.0016380996321712
S EH B,3,-10.131379609054814,-13.974018193756056,1.205068833717083,1.0093630868355066
CH ER G,3,-13.130880606217533,-14.204203583578881,1.05928922768164,1.0010942021207674
