word,word_len,uni_prob,uni_prob_freq_weighted,uni_prob_smoothed,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
P EH S,3,-9.770543510814464,nan,-9.77074457554017,nan,-9.16315038153077,nan,-9.177490253824532,nan,1.2331872331601128,nan,1.2329568775123947,nan,1.0112329860710925,nan,1.0106916957053818,nan
P IH M,3,-9.664814103764726,nan,-9.665028097772058,nan,-10.442365202196953,nan,-10.454946699909152,nan,1.2279352811760045,nan,1.2277132688962955,nan,1.01010475743036,nan,1.0096245095008325,nan
R AE L,3,-9.428630036295193,nan,-9.428865663291344,nan,-9.510060161365027,nan,-9.523242952055572,nan,1.1908064357548975,nan,1.1906385343110466,nan,1.0106343533139903,nan,1.0101252910854213,nan
R EH L,3,-9.202296689612883,nan,-9.202578529807967,nan,-9.537462229389986,nan,-9.549258469776541,nan,1.1997387087734028,nan,1.1995576973397986,nan,1.0166072493347325,nan,1.01577341865404,nan
R EH M,3,-9.813200764662792,nan,-9.81340249999565,nan,-10.360092488610473,nan,-10.373359957754817,nan,1.1805740145686232,nan,1.1804214948467555,nan,1.0135531148001062,nan,1.0128868951108323,nan
R EH P,3,-9.87351873879311,nan,-9.873709579803537,nan,-11.463876523898627,nan,-11.474283204044276,nan,1.1694264235172374,nan,1.1692904766635512,nan,1.0115679273525993,nan,1.0110106548077473,nan
R EH S,3,-9.193110584010594,nan,-9.193393294073086,nan,-9.411566751348825,nan,-9.42376944191699,nan,1.2140549644044634,nan,1.2138526693216536,nan,1.0148511219773224,nan,1.0141136676166955,nan
R IH DH,3,-12.453450979996312,nan,-12.448858556147147,nan,-13.468401530513582,nan,-13.570376491405419,nan,1.1638690580796662,nan,1.1637419086451724,nan,1.012897901187824,nan,1.0122699140793918,nan
R IH N,3,-8.27330135184163,nan,-8.273694587183337,nan,-8.418498978793336,nan,-8.428284515875772,nan,1.2524389595838274,nan,1.2521801353062483,nan,1.0208386509778524,nan,1.0197748752917317,nan
R IH S,3,-8.467290996308655,nan,-8.46766761038241,nan,-8.755299429486726,nan,-8.765465552766607,nan,1.2422839622561952,nan,1.2420402351804525,nan,1.0339332527950624,nan,1.0321508449832344,nan
R IH SH,3,-9.894768779749677,nan,-9.894846807724331,nan,-10.732393988724386,nan,-10.748872339179787,nan,1.1696337370137733,nan,1.1694980173631992,nan,1.0132414913229697,nan,1.0125946479780026,nan
R IH TH,3,-11.235365038193912,nan,-11.234335540926057,nan,-11.817393112867103,nan,-11.858571206856995,nan,1.1679921397014117,nan,1.1678588605759466,nan,1.013165137959604,nan,1.0125224848894225,nan
R IH V,3,-9.916616719275547,nan,-9.916686071579502,nan,-9.601403696965459,nan,-9.621181786914722,nan,1.1844462895067107,nan,1.1842885483737586,nan,1.0159902124041333,nan,1.0151925191668896,nan
R IH Z,3,-10.078427182572948,nan,-10.078426028573382,nan,-9.128713299288808,nan,-9.151670100223686,nan,1.1807813280651591,nan,1.1806290355464037,nan,1.0164483325843272,nan,1.0156254976983707,nan
R IH ZH,3,-12.473964519829416,nan,-12.469267427778355,nan,-13.3196336551568,nan,-13.428757431759875,nan,1.1623419908123531,nan,1.1622171116337745,nan,1.012477957689313,nan,1.0118730170922008,nan
S AE N,3,-9.122479058247233,nan,-9.122742400094024,nan,-9.627970714486022,nan,-9.635993206694767,nan,1.261978502211632,nan,1.2617057256244437,nan,1.016476848909442,nan,1.0156470753724478,nan
S EH B,3,-10.126527277864156,nan,-10.126648765563724,nan,-14.030694153242742,nan,-14.005694864705214,nan,1.2046360558287477,nan,1.2044486983585285,nan,1.009317941963277,nan,1.0088840237123682,nan
S EH CH,3,-11.485300573004299,nan,-11.484654178992416,nan,-12.245007206586951,nan,-12.256002862392466,nan,1.1877237858432548,nan,1.1875615714572973,nan,1.00908888187318,nan,1.0086675344466276,nan
S EH DH,3,-13.076295339719604,nan,-13.07161923557446,nan,-13.071273789685602,nan,-13.172541825619515,nan,1.182340873725976,nan,1.1821866619921197,nan,1.0092415885999113,nan,1.008811860623788,nan
S EH G,3,-10.720819244581481,nan,-10.720725094609822,nan,-12.249459122044282,nan,-12.258771982262374,nan,1.1968861894471334,nan,1.1967103535256844,nan,1.010196005641982,nan,1.0097138992310404,nan
S EH M,3,-9.710225536684147,nan,-9.710437495732286,nan,-10.108834890188742,nan,-10.121586565183426,nan,1.2272748280666648,nan,1.2270538140525018,nan,1.0133646702216568,nan,1.0127086674071182,nan
S EH NG,3,-11.031718530035961,nan,-11.031448913373833,nan,-11.633097836711148,nan,-11.607555312003552,nan,1.191006980467978,nan,1.1908398850318027,nan,1.0090125285098144,nan,1.0085953713580473,nan
S EH P,3,-9.770543510814464,nan,-9.770744575540173,nan,-11.212618925476896,nan,-11.222509811472886,nan,1.216127237015279,nan,1.2159227958692975,nan,1.0113794827741498,nan,1.0108324271040332,nan
S EH R,3,-9.193110584010594,nan,-9.193393294073086,nan,-10.162021664439397,nan,-10.173060345635317,nan,1.257014463097588,nan,1.2567492358494752,nan,1.0218017168735618,nan,1.0206826886952294,nan
S EH S,3,-9.090135356031949,nan,-9.090428289809722,nan,-9.160309152927095,nan,-9.171996049345601,nan,1.260755777902505,nan,1.2604849885273999,nan,1.014662677398873,nan,1.0139354399129814,nan
